City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,San Ignacio,17.1561,-89.0714,313.23,33,40,3.09,BZ,1715208853
303,Broken Hill,-31.95,141.4333,287.47,82,63,4.62,AU,1715208854
304,Zhalantun,48.0,122.7167,285.89,27,8,1.29,CN,1715208854
305,San Antonio de Palé,-1.4014,5.6325,300.0,90,32,5.62,GQ,1715208855
306,Howard Springs,-12.497,131.047,299.1,70,30,1.88,AU,1715208855
307,Timbuktu,16.7735,-3.0074,307.41,8,11,5.2,ML,1715208855
308,Susuman,62.7833,148.1667,272.03,83,63,1.34,RU,1715208785
309,Masterton,-40.9597,175.6575,283.64,67,99,5.57,NZ,1715208558
310,Fokino,42.9836,132.4047,281.85,75,89,2.13,RU,1715208857
311,Anavyssos,37.7333,23.95,294.09,54,100,2.79,GR,1715208857
312,Khāsh,28.2211,61.2158,296.09,27,0,2.84,IR,1715208857
313,Portland,45.5234,-122.6762,294.34,47,20,5.14,US,1715208709
314,Don Luan,11.5333,106.9167,299.79,80,40,1.38,VN,1715208858
315,Nova Sintra,14.8667,-24.7167,296.57,76,0,10.41,CV,1715208859
316,Yerofey Pavlovich,53.9667,121.9667,278.67,40,25,1.5,RU,1715208859
317,Udachny,66.4167,112.4,266.18,89,40,4.75,RU,1715208650
318,Geraldton,-28.7667,114.6,295.38,30,100,8.75,AU,1715208860
319,Port Saint John's,-31.6229,29.5448,293.62,81,52,1.94,ZA,1715208860
320,Rāmāpuram,13.1167,79.2,299.76,80,74,2.98,IN,1715208861
321,Keflavik,64.0049,-22.5624,278.39,75,75,1.03,IS,1715208861
322,Usogorsk,63.4106,48.6872,270.74,92,100,6.81,RU,1715208861
323,Ust'-Kut,56.7938,105.7672,278.95,67,84,2.24,RU,1715208862
324,Och'amch'ire,42.7123,41.4686,284.57,84,46,1.27,GE,1715208862
325,Bijie,27.3125,105.2942,286.44,96,100,0.83,CN,1715208863
326,Argos,37.6333,22.7333,289.81,67,100,1.37,GR,1715208863
327,Nazarovo,56.0064,90.3914,280.45,63,65,3.13,RU,1715208863
328,Lensk,60.7253,114.9278,275.52,65,77,1.08,RU,1715208864
329,Zakrzów,49.8256,19.6497,282.5,80,100,1.35,PL,1715208864
330,Murashi,59.3999,48.9615,268.4,94,100,5.48,RU,1715208865
331,Lā‘ie,21.6477,-157.9253,302.13,70,21,2.68,US,1715208865
332,Hood River,45.7054,-121.5215,295.68,37,0,4.92,US,1715208865
333,Langsa,4.4683,97.9683,296.8,94,42,0.75,ID,1715208866
334,Olinda,-8.0089,-34.8553,299.0,89,75,2.06,BR,1715208705
335,Zaozërsk,69.4005,32.4476,264.84,89,93,1.54,RU,1715208867
336,Pôsto Fiscal Rolim de Moura,-13.0833,-62.2667,300.63,66,58,1.03,BR,1715208868
337,Port Douglas,-16.4833,145.4667,297.75,82,97,7.74,AU,1715208868
338,Mattighofen,48.1031,13.1503,284.65,99,100,0.91,AT,1715208869
339,Shingū,33.7333,135.9833,286.81,51,51,2.61,JP,1715208869
340,Kaiyuan,23.6977,103.3037,291.75,92,100,0.71,CN,1715208869
341,Bubaque,11.2833,-15.8333,299.55,73,15,3.2,GW,1715208870
342,Sulţānah,24.4926,39.5857,300.4,11,0,2.06,SA,1715208870
343,Rongelap,11.1635,166.8941,300.53,77,96,9.05,MH,1715208871
344,Tianshui,34.5439,105.6897,287.46,81,85,3.05,CN,1715208871
345,Bayanhongor,46.7167,100.1167,279.38,73,61,1.77,MN,1715208871
346,Kolonia Town,6.964,158.206,302.21,84,100,5.14,FM,1715208872
347,North Madison,38.7678,-85.3966,297.1,88,40,0.0,US,1715208872
348,Alta,69.9689,23.2717,273.74,60,14,3.6,NO,1715208873
349,Neiafu,-18.65,-173.9833,298.53,88,75,1.03,TO,1715208873
